City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,tortoli,39.9256,9.6572,34.9,29,0,3.6,IT,1690269431
242,queenstown,-31.8976,26.8753,8.67,30,63,1.8,ZA,1690269719
243,broken hill,-31.95,141.4333,14.55,44,0,3.28,AU,1690269555
244,vaskelovo,60.3693,30.3534,19.98,49,32,4.0,RU,1690269720
245,fisterra,42.9049,-9.2629,13.75,71,96,4.01,ES,1690269721
246,quiberon,47.4841,-3.1196,16.71,82,9,2.24,FR,1690269722
247,tubize,50.6904,4.2069,14.82,92,100,2.49,BE,1690269722
248,akrehamn,59.2667,5.1833,14.44,88,75,13.38,NO,1690269723
249,anadyr,64.75,177.4833,11.28,87,100,2.0,RU,1690269724
250,kerikeri,-35.2268,173.9474,11.06,87,99,0.89,NZ,1690269724
251,santo antonio do ica,-3.1022,-67.9397,22.45,91,15,0.63,BR,1690269725
252,paks,46.6265,18.8596,25.69,57,42,2.69,HU,1690269725
253,fauske,67.2588,15.3918,18.86,75,99,0.5,NO,1690269726
254,saldanha,-33.0117,17.9442,8.03,70,0,4.2,ZA,1690269727
255,san julian,21.0167,-102.1667,13.2,89,100,1.38,MX,1690269727
256,qaqortoq,60.7167,-46.0333,5.91,91,100,1.59,GL,1690269728
257,baiyin,36.5583,104.2081,32.36,20,52,2.18,CN,1690269728
258,bardai,11.65,7.2333,22.89,82,24,5.45,NG,1690269730
259,freetown,8.484,-13.2299,24.84,88,75,3.09,SL,1690269706
260,new norfolk,-42.7826,147.0587,12.06,74,99,1.56,AU,1690269732
261,masterton,-40.9597,175.6575,10.49,93,31,1.21,NZ,1690269732
262,serchhip,23.3,92.8333,28.81,68,89,1.11,IN,1690269733
263,bikenibeu village,1.3673,173.1241,27.98,83,40,5.66,KI,1690269734
264,ust'-ilimsk,58.0006,102.6619,27.09,40,86,1.95,RU,1690269734
265,wewak,-3.5534,143.6268,26.27,87,100,5.27,PG,1690269735
266,homosassa springs,28.8036,-82.5759,23.45,94,40,0.0,US,1690269735
267,kiunga,-6.1219,141.2906,26.92,72,84,1.9,PG,1690269736
268,touros,-5.1989,-35.4608,22.46,89,57,6.07,BR,1690269458
269,papao,-17.75,-149.55,26.82,87,5,8.73,PF,1690269737
270,whakatane,-37.9585,176.9854,12.51,78,14,0.45,NZ,1690269738
271,at taj,24.2049,23.2857,34.48,18,0,6.56,LY,1690269739
272,ouarzazat,30.9189,-6.8934,27.16,26,0,2.06,MA,1690269739
273,rockingham,42.9668,-71.0995,20.95,86,0,2.05,US,1690269740
274,bluefields,12.0137,-83.7635,26.41,89,100,5.05,NI,1690269740
275,san antonio,29.4241,-98.4936,28.29,75,0,2.57,US,1690269518
276,tazovsky,67.4667,78.7,20.27,65,100,4.28,RU,1690269742
277,tual,-5.6667,132.75,24.48,78,100,10.3,ID,1690269742
278,pacific grove,36.6177,-121.9166,15.75,87,0,1.79,US,1690269743
279,puerto baquerizo moreno,-0.9,-89.6,24.32,87,100,6.16,EC,1690269744
280,nizhneudinsk,54.9076,99.0276,24.15,49,27,1.56,RU,1690269745
281,arteche,12.2645,125.4048,28.55,75,100,6.87,PH,1690269745
282,pisco,-13.7,-76.2167,16.12,82,5,1.54,PE,1690269746
283,murzuq,25.9155,13.9184,33.84,17,0,6.41,LY,1690269747
284,wamba,8.9333,8.6,23.79,86,48,0.93,NG,1690269747
285,al jawf,29.5,38.75,33.87,16,0,4.19,SA,1690269748
286,kuanda,56.3161,116.0806,27.49,45,29,0.86,RU,1690269748
287,qamdo,31.1667,97.2333,7.35,82,100,2.94,CN,1690269749
288,devonport,-41.1667,146.35,13.07,81,13,4.57,AU,1690269750
289,machico,32.7,-16.7667,23.89,76,40,4.12,PT,1690269750
290,cockburn town,21.4612,-71.1419,28.51,76,17,6.92,TC,1690269578
291,nouadhibou,20.931,-17.0347,20.95,86,90,6.15,MR,1690269752
292,antigonish,45.6169,-61.9986,20.71,87,100,2.19,CA,1690269752
293,poinciana,28.1403,-81.4584,25.68,89,0,1.54,US,1690269753
294,happy valley-goose bay,53.3168,-60.3315,15.17,82,75,3.09,CA,1690269754
295,usinsk,65.9939,57.5281,22.75,47,8,1.56,RU,1690269754
296,bonthe,7.5264,-12.505,24.76,90,100,1.77,SL,1690269755
297,polyarnyy,69.1989,33.4478,10.36,94,100,3.17,RU,1690269755
298,severo-yeniseyskiy,60.3725,93.0408,27.55,38,51,2.5,RU,1690269756
299,flying fish cove,-10.4217,105.6791,25.82,78,75,5.14,CX,1690269757
300,mirnyy,62.5353,113.9611,30.71,35,27,3.0,RU,1690269757
301,carutapera,-1.195,-46.02,23.74,91,3,1.17,BR,1690269758
302,hawaiian paradise park,19.5933,-154.9731,24.73,96,40,2.06,US,1690269758
303,al kharijah,25.4514,30.5464,34.78,20,0,7.03,EG,1690269759
304,i-n-salah,27.1935,2.4607,35.29,7,0,5.48,DZ,1690269760
305,la foa,-21.7108,165.8276,19.4,75,94,4.79,NC,1690269760
306,langres,47.8333,5.3333,14.55,87,100,5.64,FR,1690269761
307,badamdar,40.3394,49.8039,25.97,67,93,13.99,AZ,1690269761
308,naze,28.3667,129.4833,30.51,81,90,4.97,JP,1690269762
309,manokwari,-0.8667,134.0833,28.45,73,100,1.52,ID,1690269762
310,olinda,-8.0089,-34.8553,22.85,94,75,2.57,BR,1690269763
311,wailua homesteads,22.0669,-159.378,27.24,89,100,6.17,US,1690269764
312,vilyuchinsk,52.9306,158.4028,23.15,67,0,3.1,RU,1690269764
313,ndele,8.4109,20.6473,23.04,96,93,1.89,CF,1690269765
314,huanggang,23.677,116.9996,34.94,68,50,2.32,CN,1690269766
315,santiago de cao,-7.9589,-79.2392,22.07,83,100,2.06,PE,1690269766
316,shingu,33.7333,135.9833,29.82,73,13,3.16,JP,1690269767
317,nar'yan-mar,67.6713,53.087,21.96,54,35,4.03,RU,1690269768
